n_img,n_row,n_col,tile_type,h,s,v
0,0,0,1,42.0,207.0,154.0
0,0,1,4,105.0,251.0,179.0
0,0,2,2,42.0,188.0,83.0
0,0,3,2,38.0,175.0,73.0
0,0,4,2,38.0,184.0,75.0
0,1,0,1,44.0,208.0,156.0
0,1,1,2,39.0,174.0,73.0
0,1,2,2,37.0,178.0,70.0
0,1,3,2,37.0,169.0,67.0
0,1,4,1,41.0,217.0,149.0
0,2,0,1,40.0,207.0,154.0
0,2,1,3,23.0,126.0,125.0
0,2,2,6,27.0,93.0,132.0
0,2,3,2,37.0,188.0,72.0
0,2,4,1,40.0,222.0,146.0
0,3,0,1,42.0,224.0,151.0
0,3,1,3,23.0,127.0,130.0
0,3,2,4,105.0,249.0,177.0
0,3,3,1,39.0,215.0,142.0
0,3,4,1,40.0,229.0,146.0
0,4,0,2,40.0,120.0,81.0
0,4,1,4,106.0,229.0,152.0
0,4,2,4,106.0,223.0,139.0
0,4,3,1,40.0,210.0,135.0
0,4,4,0,26.0,245.0,197.0
1,0,0,0,26.0,249.0,175.0
1,0,1,3,25.0,81.0,116.0
1,0,2,0,26.0,248.0,176.0
1,0,3,5,25.0,85.0,23.0
1,0,4,3,23.0,135.0,106.0
1,1,0,5,25.0,70.0,28.0
1,1,1,3,23.0,120.0,92.0
1,1,2,0,26.0,251.0,180.0
1,1,3,0,26.0,249.0,180.0
1,1,4,2,36.0,180.0,65.0
1,2,0,5,21.0,51.0,24.0
1,2,1,3,23.0,123.0,110.0
1,2,2,6,22.0,79.0,112.0
1,2,3,0,26.0,248.0,179.0
1,2,4,0,26.0,249.0,183.0
1,3,0,5,24.0,58.0,25.0
1,3,1,5,24.0,64.0,31.0
1,3,2,1,42.0,220.0,148.0
1,3,3,1,44.0,220.0,139.0
1,3,4,0,26.0,245.0,184.0
1,4,0,0,26.0,247.0,192.0
1,4,1,0,26.0,245.0,191.0
1,4,2,3,23.0,156.0,126.0
1,4,3,3,25.0,114.0,123.0
