n_img,n_row,n_col,tile_type,h,s,v
0,4,4,0,26.0,246.0,198.0
0,0,0,1,43.0,215.0,156.0
0,1,0,1,44.0,212.0,156.0
0,1,4,1,42.0,216.0,151.0
0,2,0,1,41.0,209.0,154.0
0,2,4,1,40.0,224.0,147.0
0,3,0,1,43.0,224.0,151.0
0,3,3,1,37.0,216.0,141.0
0,3,4,1,39.0,230.0,141.0
0,4,3,1,39.0,213.0,133.0
0,0,2,2,46.0,165.0,62.0
0,0,3,2,42.0,155.0,59.0
0,0,4,2,45.0,163.0,60.0
0,1,1,2,46.0,165.0,58.0
0,1,2,2,43.0,171.0,59.0
0,1,3,2,36.0,167.0,64.0
0,2,3,2,43.0,178.0,58.0
0,4,0,2,48.0,98.0,63.0
0,2,1,3,23.0,127.0,114.0
0,3,1,3,23.0,132.0,116.0
0,0,1,4,105.0,254.0,184.0
0,3,2,4,105.0,251.0,180.0
0,4,1,4,105.0,224.0,152.0
0,4,2,4,106.0,227.0,143.0
0,2,2,6,29.0,96.0,141.0
1,0,0,0,26.0,252.0,177.0
1,0,2,0,26.0,248.0,177.0
1,1,2,0,26.0,251.0,182.0
1,1,3,0,26.0,249.0,181.0
1,2,3,0,26.0,248.0,184.0
1,2,4,0,26.0,249.0,183.0
1,3,4,0,26.0,244.0,177.0
1,4,0,0,26.0,248.0,193.0
1,4,1,0,26.0,244.0,192.0
1,3,2,1,43.0,221.0,149.0
1,3,3,1,44.0,222.0,142.0
1,4,4,1,42.0,220.0,141.0
1,1,4,2,46.0,158.0,47.0
1,0,1,3,26.0,70.0,115.0
1,0,4,3,23.0,131.0,103.0
1,1,1,3,23.0,126.0,88.0
1,2,1,3,23.0,126.0,104.0
1,4,2,3,23.0,161.0,114.0
1,4,3,3,25.0,109.0,119.0
1,0,3,5,24.0,132.0,44.0
1,1,0,5,24.0,83.5,37.0
1,2,0,5,23.0,85.0,41.0
1,3,0,5,23.0,96.0,42.0
1,3,1,5,24.0,108.0,64.0
1,2,2,6,21.0,61.0,120.0
2,0,1,0,25.0,243.0,168.0
2,1,0,0,26.0,249.0,185.0
2,1,1,0,26.0,237.0,183.0
2,2,1,0,25.0,239.0,172.0
2,3,0,0,26.0,248.0,188.0
2,0,2,2,43.0,166.0,46.0
2,0,3,2,47.0,136.0,39.0
2,0,4,2,48.0,143.0,39.0
2,1,2,2,38.0,122.0,52.0
2,1,3,2,50.0,132.0,40.0
2,1,4,2,49.0,143.0,42.0
2,2,3,2,45.0,153.0,40.0
2,3,1,2,35.0,180.0,55.0
2,3,2,2,43.0,189.0,44.0
2,3,3,2,36.0,180.0,49.0
2,4,3,2,45.0,168.0,44.0
2,0,0,3,22.0,145.0,98.0
2,2,4,4,106.0,250.0,137.0
2,3,4,4,107.0,253.0,151.0
2,4,0,4,106.0,252.0,159.0
2,4,1,4,106.0,254.0,164.0
2,4,2,4,106.0,252.0,150.0
2,4,4,4,106.0,249.0,118.0
2,2,0,5,24.0,64.0,36.0
2,2,2,6,30.0,66.0,110.0
3,0,1,0,26.0,239.0,196.0
3,0,2,0,26.0,240.0,189.0
3,0,4,0,26.0,247.0,191.0
3,1,1,0,26.0,242.0,190.0
