Type,Hue,Saturation,Value
Medows,43.0,215.0,156.0
Medows,44.0,212.0,156.0
Medows,42.0,216.0,151.0
Medows,41.0,209.0,154.0
Medows,40.0,224.0,147.0
Medows,43.0,224.0,151.0
Medows,37.0,216.0,141.0
Medows,39.0,230.0,141.0
Medows,39.0,213.0,133.0
Medows,43.0,221.0,149.0
Medows,44.0,222.0,142.0
Medows,42.0,220.0,141.0
Medows,43.0,217.0,155.0
Medows,43.0,219.0,155.0
Medows,45.0,225.0,150.0
Medows,105.0,253.0,169.0
Medows,38.0,255.0,135.0
Medows,43.0,222.0,154.0
Medows,45.0,186.0,57.0
Medows,24.0,106.0,115.0
Medows,40.0,228.0,136.0
Medows,106.0,252.0,157.0
Medows,38.0,220.0,139.0
Medows,46.0,238.0,106.0
Medows,44.0,218.0,112.0
Medows,45.0,201.0,107.0
Medows,40.0,214.0,92.0
Medows,43.0,231.0,113.0
Medows,42.0,220.0,111.0
Medows,40.0,219.0,130.0
Medows,40.0,226.0,129.0
Medows,43.0,212.0,133.0
Medows,41.0,221.0,128.0
Medows,42.0,226.0,130.0
Medows,37.0,222.0,97.0
Medows,35.0,199.0,93.0
Medows,46.0,228.0,103.0
Medows,45.0,203.0,115.0
Medows,45.0,195.0,111.0
Medows,39.0,200.0,95.0
Medows,43.0,234.0,114.0
Medows,41.0,222.0,112.0
Medows,40.0,208.0,128.0
Medows,40.0,228.0,128.0
Medows,43.0,216.0,120.0
Medows,44.0,232.0,87.0
Medows,45.0,226.0,94.0
Medows,39.0,220.0,74.0
Medows,37.0,206.0,112.0
Medows,45.0,195.0,121.0
Medows,41.0,215.0,129.0
Medows,40.0,224.0,125.0
Medows,41.0,218.0,129.0
Medows,38.0,220.0,110.0
Medows,42.0,243.0,109.0
Medows,40.0,239.0,92.5
Medows,44.0,213.0,106.0
Medows,39.0,225.0,73.0
Medows,45.0,224.0,86.0
Medows,46.0,193.0,87.0
Medows,48.0,183.0,86.0
Medows,37.0,207.0,110.0
Medows,45.0,195.0,119.0
Medows,41.0,213.0,114.0
Medows,41.0,215.0,129.0
Medows,40.0,226.0,122.0
Medows,42.0,225.0,123.0
Medows,39.0,217.0,102.0
Medows,42.0,241.0,118.0
Medows,39.0,240.0,100.0
Medows,44.0,208.0,110.0
Medows,38.0,219.0,83.0
Medows,44.0,221.0,98.0
Medows,46.0,192.0,97.0
Medows,48.0,179.0,94.0
Medows,41.0,197.0,113.0
Medows,45.0,192.0,133.0
Medows,44.0,195.0,134.0
Medows,46.0,195.0,139.0
Medows,39.0,217.0,125.0
Medows,43.0,219.0,133.0
Medows,39.0,195.0,120.0
Medows,46.0,193.0,131.0
Medows,38.0,248.0,107.0
Medows,40.0,246.0,104.0
Medows,38.0,233.0,114.0
Medows,39.0,246.0,113.0
Medows,35.0,239.0,98.0
Medows,39.0,236.0,114.0
Medows,37.0,244.0,105.0
Medows,38.0,237.0,109.0
Medows,37.0,229.0,117.0
Medows,39.0,199.0,111.0
Medows,38.0,241.0,113.0
Medows,34.0,195.0,104.0
Medows,40.0,231.0,119.0
Medows,39.0,226.0,122.0
Medows,39.0,220.0,118.0
Medows,39.0,232.0,115.0
Medows,38.0,214.0,115.0
Medows,35.0,219.0,108.0
Medows,38.0,178.0,106.0
Medows,37.0,209.0,112.0
Medows,36.0,171.0,117.0
Medows,43.0,195.0,128.0
Medows,41.0,176.0,134.0
Medows,42.0,160.0,123.0
Medows,37.0,213.0,125.0
Medows,38.0,231.0,124.0
Forest,46.0,165.0,62.0
Forest,42.0,155.0,59.0
Forest,45.0,163.0,60.0
Forest,46.0,165.0,58.0
Forest,43.0,171.0,59.0
Forest,36.0,167.0,64.0
Forest,43.0,178.0,58.0
Forest,48.0,98.0,63.0
Forest,46.0,158.0,47.0
Forest,43.0,166.0,46.0
Forest,47.0,136.0,39.0
Forest,48.0,143.0,39.0
Forest,38.0,122.0,52.0
Forest,50.0,132.0,40.0
Forest,49.0,143.0,42.0
Forest,45.0,153.0,40.0
Forest,35.0,180.0,55.0
Forest,43.0,189.0,44.0
Forest,36.0,180.0,49.0
Forest,45.0,168.0,44.0
Forest,26.0,246.0,191.0
Forest,44.0,206.0,144.0
Forest,24.0,86.0,129.0
Forest,40.0,228.0,136.0
Forest,27.0,248.0,192.0
Forest,26.0,244.0,191.0
Forest,29.0,128.0,62.0
Forest,105.0,253.0,159.0
Forest,42.0,89.0,44.0
Forest,47.0,136.0,40.0
Forest,60.0,78.0,37.0
Forest,60.0,83.0,38.0
Forest,57.0,85.0,37.0
Forest,36.0,97.0,44.0
Forest,49.0,109.0,38.0
Forest,34.0,167.0,50.0
Forest,40.0,158.0,44.0
Forest,43.0,161.0,43.0
Forest,44.0,166.0,47.0
Forest,40.0,168.0,49.0
Forest,36.0,149.0,50.0
Forest,34.0,180.0,57.0
Forest,35.0,170.0,54.0
Forest,50.0,105.0,41.0
Forest,45.0,138.0,36.0
Forest,46.0,144.0,38.0
Forest,43.0,170.0,36.0
Forest,46.0,158.0,38.0
Forest,42.0,156.0,40.0
Forest,43.0,178.0,36.0
Forest,42.0,83.0,45.0
Forest,45.0,146.0,40.0
Forest,57.0,83.0,38.0
Forest,57.0,88.0,40.0
Forest,53.0,96.0,38.0
Forest,34.0,111.0,45.0
Forest,48.0,123.0,39.0
Forest,34.0,166.0,52.0
Forest,40.0,155.0,45.0
Forest,43.0,149.0,44.0
Forest,45.0,153.0,44.0
Forest,40.0,168.0,47.0
Forest,36.0,156.0,46.0
Forest,35.0,172.0,37.0
Forest,36.0,150.0,34.0
Forest,43.0,144.0,44.0
Forest,43.0,158.0,42.0
Forest,36.0,150.0,48.0
Forest,45.0,162.0,46.0
Forest,52.0,102.0,36.0
Forest,48.0,105.0,35.0
Forest,40.0,77.0,44.0
Forest,58.0,83.0,36.0
Forest,56.0,85.0,35.0
Forest,51.0,97.0,39.0
Forest,50.0,108.0,34.0
Forest,37.0,137.0,39.0
Forest,40.0,113.0,41.0
Forest,33.0,161.0,53.0
Forest,43.0,162.0,45.0
Forest,41.0,151.0,45.0
Forest,45.0,141.0,44.0
Forest,43.0,155.0,40.0
Forest,37.0,151.0,47.0
Forest,45.0,160.0,42.0
Forest,48.0,178.0,36.0
Forest,51.0,157.0,44.0
Forest,43.0,124.0,42.0
Forest,50.0,123.0,44.0
Forest,39.0,121.0,47.0
Forest,50.0,108.0,41.0
Forest,51.0,122.0,37.0
Forest,46.0,122.0,36.0
Forest,40.0,74.0,47.0
Forest,60.0,80.0,38.0
Forest,58.0,83.0,37.0
Forest,58.0,88.0,42.0
Forest,52.0,94.0,37.0
Forest,38.0,136.0,42.0
Forest,37.5,115.0,43.0
Forest,35.0,153.0,52.0
Forest,43.0,157.0,44.0
Forest,42.0,149.0,44.0
Forest,39.0,120.0,52.0
Forest,55.0,95.0,54.0
Forest,50.0,132.0,49.0
Forest,48.0,124.0,44.0
Forest,40.0,129.0,35.0
Forest,36.0,170.0,41.0
Forest,30.0,193.0,51.0
Forest,35.0,201.0,42.0
Forest,32.0,159.0,54.0
Forest,31.0,204.0,39.0
Forest,37.0,223.0,33.0
Forest,40.0,157.0,38.0
Forest,34.0,186.0,46.0
Forest,42.0,172.0,39.0
Forest,36.0,193.0,52.0
Forest,39.0,169.0,51.0
Forest,35.0,185.0,49.0
Forest,32.0,188.0,59.0
Forest,35.0,183.0,50.0
Forest,38.0,115.0,52.0
Fields,26.0,246.0,198.0
Fields,26.0,252.0,177.0
Fields,26.0,248.0,177.0
Fields,26.0,251.0,182.0
Fields,26.0,249.0,181.0
Fields,26.0,248.0,184.0
Fields,26.0,249.0,183.0
Fields,26.0,244.0,177.0
Fields,26.0,248.0,193.0
Fields,26.0,244.0,192.0
Fields,25.0,243.0,168.0
Fields,26.0,249.0,185.0
Fields,26.0,237.0,183.0
Fields,25.0,239.0,172.0
Fields,26.0,248.0,188.0
Fields,26.0,245.0,193.0
Fields,45.0,137.0,59.0
Fields,26.0,236.0,188.0
Fields,106.0,255.0,168.0
Fields,21.0,168.0,156.0
Fields,27.0,237.0,190.0
Fields,25.0,75.0,42.0
Fields,24.0,124.0,112.0
Fields,27.0,242.0,191.0
Fields,26.0,230.0,185.0
Fields,26.0,239.0,184.0
Fields,27.0,248.0,192.0
