n_img,n_row,n_col,tile_type,h,s,v
33,1,1,0,25.0,255.0,163.0
33,1,2,0,25.0,250.0,162.0
33,2,2,0,26.0,252.0,166.0
33,2,3,0,25.0,250.0,163.0
33,2,4,0,25.0,250.0,165.0
33,3,2,0,25.0,243.0,167.0
33,3,4,0,25.0,245.0,156.0
33,4,2,0,25.0,247.0,169.0
33,0,3,1,46.0,238.0,106.0
33,0,4,1,44.0,218.0,112.0
33,1,3,1,45.0,201.0,107.0
33,1,4,1,40.0,214.0,92.0
33,3,1,1,43.0,231.0,113.0
33,4,1,1,42.0,220.0,111.0
33,3,3,2,42.0,89.0,44.0
33,4,0,2,47.0,136.0,40.0
33,0,0,3,23.0,104.0,87.0
33,0,1,3,20.0,157.0,78.0
33,1,0,3,21.0,119.0,73.0
33,2,0,3,22.0,103.0,85.0
33,3,0,3,22.0,118.0,80.0
33,4,4,4,108.0,252.0,140.0
33,2,1,5,24.0,64.0,32.0
33,4,3,5,24.0,40.0,29.5
33,0,2,6,21.0,41.0,91.0
34,0,1,0,25.0,241.0,166.0
34,2,0,0,25.0,246.0,172.0
34,2,1,0,25.0,254.0,171.0
34,3,0,0,25.0,252.0,174.0
34,3,1,0,25.0,254.0,172.0
34,3,2,0,25.0,246.0,160.0
34,0,2,2,60.0,78.0,37.0
34,0,3,2,60.0,83.0,38.0
34,0,4,2,57.0,85.0,37.0
34,1,1,2,36.0,97.0,44.0
34,1,2,2,49.0,109.0,38.0
34,0,0,3,20.0,78.0,80.0
34,1,0,3,21.0,35.0,104.0
34,4,4,3,21.0,106.0,91.0
34,1,3,4,108.0,250.0,116.0
34,1,4,4,108.0,255.0,153.0
34,2,3,4,109.0,253.0,147.0
34,2,4,4,109.0,255.0,151.0
34,3,3,4,108.0,255.0,157.0
34,3,4,4,109.0,255.0,153.0
34,4,0,5,23.0,92.0,52.0
34,4,1,5,22.0,67.0,24.0
34,4,2,5,22.0,44.0,29.0
34,4,3,5,24.0,64.0,30.0
34,2,2,6,30.0,51.0,100.0
35,0,0,0,25.0,254.0,181.0
35,1,0,0,24.0,249.0,174.0
35,1,1,0,25.0,251.0,182.0
35,2,1,0,25.0,249.0,177.0
35,4,1,0,25.0,252.0,174.0
35,1,4,1,40.0,219.0,130.0
35,2,0,1,40.0,226.0,129.0
35,2,4,1,43.0,212.0,133.0
35,3,3,1,41.0,221.0,128.0
35,3,4,1,42.0,226.0,130.0
35,4,3,1,37.0,222.0,97.0
35,0,1,2,34.0,167.0,50.0
35,0,2,2,40.0,158.0,44.0
35,0,3,2,43.0,161.0,43.0
35,1,2,2,44.0,166.0,47.0
35,2,2,2,40.0,168.0,49.0
35,2,3,2,36.0,149.0,50.0
35,3,1,2,34.0,180.0,57.0
35,3,2,2,35.0,170.0,54.0
35,0,4,3,21.0,120.0,89.0
35,3,0,4,107.0,254.0,171.0
35,4,0,4,107.0,253.0,168.0
35,4,2,4,108.0,253.0,148.0
35,4,4,4,108.0,253.0,137.0
35,1,3,6,30.0,55.0,103.0
36,0,1,0,26.0,250.0,160.0
36,1,0,0,26.0,255.0,159.0
36,1,1,0,25.0,246.0,142.0
36,1,3,0,25.0,250.0,167.0
36,2,1,0,26.0,249.0,160.0
36,4,2,0,25.0,255.0,170.0
36,4,3,0,25.0,254.0,173.0
36,0,0,1,35.0,199.0,93.0
36,1,4,2,50.0,105.0,41.0
36,2,3,2,45.0,138.0,36.0
36,2,4,2,46.0,144.0,38.0
36,3,1,2,43.0,170.0,36.0
36,3,2,2,46.0,158.0,38.0
36,3,3,2,42.0,156.0,40.0
36,4,1,2,43.0,178.0,36.0
36,1,2,3,22.0,88.0,89.0
36,0,2,4,108.0,244.0,109.0
36,0,3,4,108.0,253.0,139.0
36,0,4,4,108.0,241.0,117.0
36,2,0,4,108.0,247.0,113.0
36,3,0,4,108.0,251.0,136.0
36,4,0,4,108.0,252.0,142.0
36,2,2,6,31.0,149.0,65.0
36,3,4,7,19.0,187.0,132.0
36,4,4,7,18.0,200.0,130.0
37,1,1,0,25.0,255.0,164.0
37,1,2,0,25.0,252.0,165.0
37,2,2,0,25.0,252.0,167.0
37,2,3,0,25.0,249.0,164.0
37,2,4,0,25.0,249.0,167.0
37,3,2,0,25.0,242.0,168.0
37,3,4,0,24.0,240.0,155.0
37,4,2,0,25.0,246.0,171.0
37,0,3,1,46.0,228.0,103.0
37,0,4,1,45.0,203.0,115.0
37,1,3,1,45.0,195.0,111.0
37,1,4,1,39.0,200.0,95.0
37,3,1,1,43.0,234.0,114.0
37,4,1,1,41.0,222.0,112.0
37,3,3,2,42.0,83.0,45.0
37,4,0,2,45.0,146.0,40.0
37,0,0,3,24.0,102.5,85.0
37,0,1,3,21.0,164.0,74.0
37,1,0,3,21.0,130.0,80.0
37,2,0,3,22.0,109.0,84.0
37,3,0,3,22.0,134.0,80.0
37,4,4,4,108.0,252.0,142.0
37,2,1,5,24.0,67.0,41.0
37,4,3,5,24.0,49.0,36.0
37,0,2,6,23.0,112.0,66.0
38,0,1,0,25.0,240.0,168.0
38,2,0,0,25.0,245.0,173.0
38,2,1,0,25.0,253.0,171.0
38,3,0,0,25.0,252.0,176.0
38,3,1,0,25.0,254.0,175.0
38,3,2,0,25.0,248.0,160.0
38,0,2,2,57.0,83.0,38.0
38,0,3,2,57.0,88.0,40.0
38,0,4,2,53.0,96.0,38.0
38,1,1,2,34.0,111.0,45.0
38,1,2,2,48.0,123.0,39.0
38,0,0,3,21.0,78.0,80.0
38,1,0,3,22.0,38.0,106.0
38,4,4,3,22.0,99.0,93.0
38,1,3,4,108.0,243.0,108.0
38,1,4,4,109.0,255.0,155.0
38,2,3,4,109.0,252.0,138.0
38,2,4,4,109.0,255.0,153.0
38,3,3,4,108.0,255.0,160.0
38,3,4,4,108.0,255.0,156.0
38,4,0,5,22.0,112.0,70.0
38,4,1,5,22.0,69.0,30.0
38,4,2,5,23.0,53.0,32.0
38,4,3,5,23.0,71.0,36.0
38,2,2,6,26.0,84.0,67.0
39,0,0,0,25.0,252.0,182.0
39,1,0,0,24.0,248.0,172.0
39,1,1,0,25.0,248.0,183.0
39,2,1,0,25.0,251.0,173.0
39,4,1,0,25.0,253.0,135.0
39,1,4,1,40.0,208.0,128.0
39,2,0,1,40.0,228.0,128.0
39,2,4,1,43.0,216.0,120.0
39,3,3,1,44.0,232.0,87.0
39,3,4,1,45.0,226.0,94.0
39,4,3,1,39.0,220.0,74.0
39,0,1,2,34.0,166.0,52.0
39,0,2,2,40.0,155.0,45.0
39,0,3,2,43.0,149.0,44.0
39,1,2,2,45.0,153.0,44.0
39,2,2,2,40.0,168.0,47.0
39,2,3,2,36.0,156.0,46.0
39,3,1,2,35.0,172.0,37.0
39,3,2,2,36.0,150.0,34.0
39,0,4,3,21.0,112.0,95.0
39,3,0,4,108.0,253.0,138.0
39,4,0,4,109.0,253.0,128.0
39,4,2,4,109.0,253.0,124.0
39,4,4,4,109.0,253.0,132.0
39,1,3,6,35.0,63.0,67.0
40,0,0,0,25.0,251.0,174.0
40,0,2,0,25.0,244.0,166.0
40,1,2,0,25.0,243.0,176.0
40,1,3,0,25.0,246.0,176.0
40,3,2,0,25.0,252.0,179.0
40,4,1,0,25.0,252.0,180.0
40,4,2,0,25.0,251.0,181.0
40,1,0,1,37.0,206.0,112.0
40,1,1,1,45.0,195.0,121.0
40,0,3,2,43.0,144.0,44.0
40,2,0,2,43.0,158.0,42.0
40,3,3,2,36.0,150.0,48.0
40,4,3,2,45.0,162.0,46.0
40,0,1,3,21.0,76.0,107.0
40,3,1,3,21.0,113.0,95.0
40,0,4,4,108.0,248.0,130.0
40,1,4,4,108.0,254.0,156.0
40,2,1,4,107.0,251.0,151.0
40,2,2,4,108.0,253.0,161.0
40,2,3,4,108.0,254.0,168.0
40,2,4,4,108.0,255.0,170.0
40,3,4,4,107.0,254.0,172.0
40,3,0,5,23.0,75.0,35.0
40,4,0,5,23.0,96.0,54.0
40,4,4,6,26.0,85.0,121.0
41,0,0,0,24.0,234.0,158.0
41,1,0,0,25.0,240.0,172.0
41,1,1,0,25.0,240.0,170.0
41,2,0,0,25.0,248.0,172.0
41,3,0,0,25.0,252.0,174.0
41,4,0,0,25.0,251.0,176.0
41,4,1,0,25.0,249.0,174.0
41,4,2,0,25.0,246.0,170.0
41,0,3,2,52.0,102.0,36.0
41,0,4,2,48.0,105.0,35.0
41,1,2,2,40.0,77.0,44.0
41,1,3,2,58.0,83.0,36.0
41,1,4,2,56.0,85.0,35.0
41,2,2,2,51.0,97.0,39.0
41,2,3,2,50.0,108.0,34.0
41,3,3,2,37.0,137.0,39.0
41,4,3,2,40.0,113.0,41.0
41,2,4,3,21.0,80.0,82.0
41,0,1,4,108.0,251.0,144.0
41,0,2,4,109.0,253.0,162.0
41,2,1,4,108.0,245.0,130.0
41,3,1,4,108.0,249.0,128.0
41,3,2,4,109.0,253.0,162.0
41,3,4,5,23.0,64.0,31.0
41,4,4,6,87.0,41.0,92.0
42,0,3,0,25.0,248.0,173.0
42,0,4,0,25.0,239.0,170.0
42,1,3,0,25.0,245.0,168.0
42,2,3,0,25.0,243.0,170.0
42,3,3,0,25.0,255.0,153.0
42,1,0,1,41.0,215.0,129.0
42,1,1,1,40.0,224.0,125.0
42,1,2,1,41.0,218.0,129.0
42,2,1,1,38.0,220.0,110.0
42,3,1,1,42.0,243.0,109.0
42,3,2,1,40.0,239.0,92.5
42,3,4,1,44.0,213.0,106.0
42,4,1,1,39.0,225.0,73.0
42,4,2,1,45.0,224.0,86.0
42,4,3,1,46.0,193.0,87.0
42,4,4,1,48.0,183.0,86.0
42,0,0,2,33.0,161.0,53.0
42,0,1,2,43.0,162.0,45.0
42,0,2,2,41.0,151.0,45.0
